"YYYY/MM/DD","Wdy","USD/EUR"
2011-10-13,"Thu",1.373
2011-10-14,"Fri",1.386
2011-10-17,"Mon",1.3768
2011-10-18,"Tue",1.3718
2011-10-19,"Wed",1.3774
2011-10-20,"Thu",1.3672
2011-10-21,"Fri",1.3872
2011-10-24,"Mon",1.3932
2011-10-25,"Tue",1.3911
2011-10-26,"Wed",1.3838
2011-10-27,"Thu",1.4171
2011-10-28,"Fri",1.4164
2011-10-31,"Mon",1.3947
2011-11-01,"Tue",1.3675
2011-11-02,"Wed",1.3801
2011-11-03,"Thu",1.3744
2011-11-04,"Fri",1.3759
2011-11-07,"Mon",1.3743
2011-11-08,"Tue",1.3787
2011-11-09,"Wed",1.3595
2011-11-10,"Thu",1.3599
2011-11-14,"Mon",1.3624
2011-11-15,"Tue",1.3523
2011-11-16,"Wed",1.3506
2011-11-17,"Thu",1.3521
2011-11-18,"Fri",1.3521
2011-11-21,"Mon",1.3525
2011-11-22,"Tue",1.3499
2011-11-23,"Wed",1.3347
2011-11-24,"Thu",1.334
2011-11-25,"Fri",1.3243
2011-11-28,"Mon",1.3334
2011-11-29,"Tue",1.3342
2011-11-30,"Wed",1.3453
2011-12-01,"Thu",1.3486
2011-12-02,"Fri",1.3384
2011-12-05,"Mon",1.3462
2011-12-06,"Tue",1.3396
2011-12-07,"Wed",1.3386
2011-12-08,"Thu",1.3324
2011-12-09,"Fri",1.3367
2011-12-12,"Mon",1.3187
2011-12-13,"Tue",1.3093
2011-12-14,"Wed",1.2971
2011-12-15,"Thu",1.3012
2011-12-16,"Fri",1.3025
2011-12-19,"Mon",1.3016
2011-12-20,"Tue",1.3075
2011-12-21,"Wed",1.3039
2011-12-22,"Thu",1.3045
2011-12-23,"Fri",1.304
2011-12-28,"Wed",1.2925
2011-12-29,"Thu",1.2952
2011-12-30,"Fri",1.2972
2012-01-03,"Tue",1.3061
2012-01-04,"Wed",1.293
2012-01-05,"Thu",1.2781
2012-01-06,"Fri",1.2723
2012-01-09,"Mon",1.2744
2012-01-10,"Tue",1.2782
2012-01-11,"Wed",1.2686
2012-01-12,"Thu",1.2818
2012-01-13,"Fri",1.2681
2012-01-16,"Mon",1.2675
2012-01-17,"Tue",1.2739
2012-01-18,"Wed",1.2825
2012-01-19,"Thu",1.2937
2012-01-20,"Fri",1.2947
2012-01-23,"Mon",1.3035
2012-01-24,"Tue",1.3003
2012-01-25,"Wed",1.2977
2012-01-26,"Thu",1.3152
2012-01-27,"Fri",1.3192
2012-01-30,"Mon",1.3122
2012-01-31,"Tue",1.3052
2012-02-01,"Wed",1.3202
2012-02-02,"Thu",1.3167
2012-02-03,"Fri",1.3105
2012-02-06,"Mon",1.3129
2012-02-07,"Tue",1.3244
2012-02-08,"Wed",1.3254
2012-02-09,"Thu",1.3297
2012-02-10,"Fri",1.3187
2012-02-13,"Mon",1.3211
2012-02-14,"Tue",1.3149
2012-02-15,"Wed",1.3087
2012-02-16,"Thu",1.3109
2012-02-17,"Fri",1.315
2012-02-20,"Mon",1.3249
2012-02-21,"Tue",1.3255
2012-02-22,"Wed",1.325
2012-02-23,"Thu",1.3309
2012-02-24,"Fri",1.3462
2012-02-27,"Mon",1.341
2012-02-28,"Tue",1.3452
2012-02-29,"Wed",1.3358
2012-03-01,"Thu",1.3319
2012-03-02,"Fri",1.3202
2012-03-05,"Mon",1.3227
2012-03-06,"Tue",1.3119
2012-03-07,"Wed",1.3148
2012-03-08,"Thu",1.3256
2012-03-09,"Fri",1.3108
2012-03-12,"Mon",1.3139
2012-03-13,"Tue",1.3108
2012-03-14,"Wed",1.3024
2012-03-15,"Thu",1.3069
2012-03-16,"Fri",1.317
2012-03-19,"Mon",1.3242
2012-03-20,"Tue",1.3222
2012-03-21,"Wed",1.319
2012-03-22,"Thu",1.3193
2012-03-23,"Fri",1.3263
2012-03-26,"Mon",1.3327
2012-03-27,"Tue",1.3336
2012-03-28,"Wed",1.3299
2012-03-29,"Thu",1.3264
2012-03-30,"Fri",1.3334
2012-04-02,"Mon",1.3324
2012-04-03,"Tue",1.3337
2012-04-04,"Wed",1.3128
2012-04-05,"Thu",1.3065
2012-04-09,"Mon",1.3086
2012-04-10,"Tue",1.3067
2012-04-11,"Wed",1.3103
2012-04-12,"Thu",1.317
2012-04-13,"Fri",1.3082
2012-04-16,"Mon",1.3066
2012-04-17,"Tue",1.3122
2012-04-18,"Wed",1.3121
2012-04-19,"Thu",1.3132
2012-04-20,"Fri",1.3211
2012-04-23,"Mon",1.3129
2012-04-24,"Tue",1.3207
2012-04-25,"Wed",1.3209
2012-04-26,"Thu",1.3231
2012-04-27,"Fri",1.3247
2012-04-30,"Mon",1.3229
2012-05-01,"Tue",1.3226
2012-05-02,"Wed",1.3153
2012-05-03,"Thu",1.3148
2012-05-04,"Fri",1.309
2012-05-07,"Mon",1.3052
2012-05-08,"Tue",1.3015
2012-05-09,"Wed",1.2953
2012-05-10,"Thu",1.2959
2012-05-11,"Fri",1.2937
2012-05-14,"Mon",1.2846
2012-05-15,"Tue",1.2769
2012-05-16,"Wed",1.273
2012-05-17,"Thu",1.2709
2012-05-18,"Fri",1.272
2012-05-22,"Tue",1.2735
2012-05-23,"Wed",1.2569
2012-05-24,"Thu",1.2583
2012-05-25,"Fri",1.2518
2012-05-28,"Mon",1.2542
2012-05-29,"Tue",1.2486
2012-05-30,"Wed",1.2408
2012-05-31,"Thu",1.2363
2012-06-01,"Fri",1.242
2012-06-04,"Mon",1.2494
2012-06-05,"Tue",1.2437
2012-06-06,"Wed",1.2534
2012-06-07,"Thu",1.2567
2012-06-08,"Fri",1.2482
2012-06-11,"Mon",1.2504
2012-06-12,"Tue",1.2476
2012-06-13,"Wed",1.2596
2012-06-14,"Thu",1.2608
2012-06-15,"Fri",1.2633
2012-06-18,"Mon",1.2578
2012-06-19,"Tue",1.2691
2012-06-20,"Wed",1.2702
2012-06-21,"Thu",1.2585
2012-06-22,"Fri",1.2545
2012-06-25,"Mon",1.2479
2012-06-26,"Tue",1.2471
2012-06-27,"Wed",1.2456
2012-06-28,"Thu",1.2432
2012-06-29,"Fri",1.2668
2012-07-03,"Tue",1.262
2012-07-04,"Wed",1.2526
2012-07-05,"Thu",1.2384
2012-07-06,"Fri",1.2283
2012-07-09,"Mon",1.2298
2012-07-10,"Tue",1.2255
2012-07-11,"Wed",1.2244
2012-07-12,"Thu",1.2195
2012-07-13,"Fri",1.2232
2012-07-16,"Mon",1.2266
2012-07-17,"Tue",1.2234
2012-07-18,"Wed",1.2261
2012-07-19,"Thu",1.2257
2012-07-20,"Fri",1.2176
2012-07-23,"Mon",1.2125
2012-07-24,"Tue",1.2061
2012-07-25,"Wed",1.2131
2012-07-26,"Thu",1.228
2012-07-27,"Fri",1.2368
2012-07-30,"Mon",1.225
2012-07-31,"Tue",1.2314
2012-08-01,"Wed",1.2298
2012-08-02,"Thu",1.2149
2012-08-03,"Fri",1.2389
2012-08-07,"Tue",1.2422
2012-08-08,"Wed",1.2364
2012-08-09,"Thu",1.2278
2012-08-10,"Fri",1.2298
2012-08-13,"Mon",1.234
2012-08-14,"Tue",1.2329
2012-08-15,"Wed",1.2287
2012-08-16,"Thu",1.2356
2012-08-17,"Fri",1.2314
2012-08-20,"Mon",1.2342
2012-08-21,"Tue",1.2471
2012-08-22,"Wed",1.2472
2012-08-23,"Thu",1.2582
2012-08-24,"Fri",1.2533
2012-08-27,"Mon",1.2514
2012-08-28,"Tue",1.2564
2012-08-29,"Wed",1.2538
2012-08-30,"Thu",1.2498
2012-08-31,"Fri",1.2577
2012-09-04,"Tue",1.2566
2012-09-05,"Wed",1.2603
2012-09-06,"Thu",1.2628
2012-09-07,"Fri",1.2795
2012-09-10,"Mon",1.2794
2012-09-11,"Tue",1.2859
2012-09-12,"Wed",1.2893
2012-09-13,"Thu",1.2911
2012-09-14,"Fri",1.3141
2012-09-17,"Mon",1.3124
2012-09-18,"Tue",1.3052
2012-09-19,"Wed",1.3071
2012-09-20,"Thu",1.2948
2012-09-21,"Fri",1.2991
2012-09-24,"Mon",1.2908
2012-09-25,"Tue",1.2945
2012-09-26,"Wed",1.2853
2012-09-27,"Thu",1.2874
2012-09-28,"Fri",1.2856
2012-10-01,"Mon",1.2899
2012-10-02,"Tue",1.295
2012-10-03,"Wed",1.2909
2012-10-04,"Thu",1.3
2012-10-05,"Fri",1.3059
2012-10-09,"Tue",1.2874
2012-10-10,"Wed",1.2887
2012-10-11,"Thu",1.2934
2012-10-12,"Fri",1.2945
2012-10-15,"Mon",1.2949
2012-10-16,"Tue",1.3035
2012-10-17,"Wed",1.3133
2012-10-18,"Thu",1.3108
2012-10-19,"Fri",1.3022
2012-10-22,"Mon",1.3062
2012-10-23,"Tue",1.2971
2012-10-24,"Wed",1.2946
2012-10-25,"Thu",1.2957
2012-10-26,"Fri",1.2937
2012-10-29,"Mon",1.2905
2012-10-30,"Tue",1.2979
2012-10-31,"Wed",1.2958
2012-11-01,"Thu",1.2938
2012-11-02,"Fri",1.2846
2012-11-05,"Mon",1.279
2012-11-06,"Tue",1.2818
2012-11-07,"Wed",1.2759
2012-11-08,"Thu",1.274
2012-11-09,"Fri",1.2714
2012-11-13,"Tue",1.2716
2012-11-14,"Wed",1.2739
2012-11-15,"Thu",1.2782
2012-11-16,"Fri",1.2714
2012-11-19,"Mon",1.2806
2012-11-20,"Tue",1.2813
2012-11-21,"Wed",1.2817
